Description,Alternate_Description,Minimum Charge,,Day Charge,Manufacturer,,
Breaker Bar Socket ,,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=breaker+bar+socket&oq=breaker+Bar+Soc&gs_l=psy-ab.3.0.0j0i24k1l2.36018.38796.0.39910.15.15.0.0.0.0.176.1126.12j2.14.0....0...1.1.64.psy-ab..1.14.1115...0i67k1j0i8i30k1.ohvPDjXn_IA&safe=active&ssui=on#imgrc=pP63dlh69pm8aM:,
"Car Polisher, electric (pads extra)",,18,,27,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Car+polisher+elec&oq=Car+polisher+elec&gs_l=psy-ab.3..0i8i30k1.40187.45584.0.47050.19.18.1.0.0.0.99.1306.18.18.0....0...1.1.64.psy-ab..0.18.1255...0j0i67k1j0i24k1.F2kKYivzQo4&safe=active&ssui=on#imgrc=lYXQachxSrLGLM:,
Internal Coil Spring Compressor,,22.5,,22.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Internal+Coils+Spring+Compressor&oq=Internal+Coils+Spring+Compressor&gs_l=psy-ab.3...29204.36015.0.36301.34.33.1.0.0.0.111.2383.32j1.33.0....0...1.1.64.psy-ab..0.16.1063...0j0i67k1j0i24k1j0i13k1.UGKsV6ch2Uk&safe=active&ssui=on#imgrc=UnASn-ufDVCnIM:,
Compression Tester,,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=compression+tester&oq=compression+tes&gs_l=psy-ab.3.0.0l4.20515.24014.0.25117.15.15.0.0.0.0.110.1147.14j1.15.0....0...1.1.64.psy-ab..0.15.1146.E5Vi7egwrSs&safe=active&ssui=on#imgrc=boCnDCbtPabTxM:,
Cylinder Hone,,12.5,,12.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=cylinder+hone&oq=cylinder+hone&gs_l=psy-ab.3..0l4.16608.19051.0.19328.13.13.0.0.0.0.158.1279.4j7.11.0....0...1.1.64.psy-ab..2.11.1277...0i67k1.9zto0uwM5a0&safe=active&ssui=on#imgrc=seawfY7ob4fh9M:,
Break Down Engine Hoist,,27.5,,37.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=break+down+engine+hoist&oq=break+down+engine+hoist&gs_l=psy-ab.3..0i24k1.14725.20690.0.20880.23.23.0.0.0.0.178.1783.22j1.23.0....0...1.1.64.psy-ab..0.23.1782...0j0i67k1j0i10i67k1j0i8i10i30k1j0i8i30k1j0i10i24k1.I-NVEWtRKo0&safe=active&ssui=on#imgrc=LQV8otw0VejZeM:,
"impact wrench 1"", air",,40,,40,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=impact+wrench+1%22&oq=impact+wrench+1%22&gs_l=psy-ab.3..0l2j0i30k1l2.66154.77141.0.77570.16.16.0.0.0.0.90.1155.16.16.0....0...1.1.64.psy-ab..0.16.1153...0i67k1.MkuqcDl-VzU&safe=active&ssui=on#imgrc=u9i-2akVpr4LqM:,
"impact wrench 1/2"" or 1/4"", air",,15,,20,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=impact+wrench+1%2F2%22&oq=impact+wrench+1%2F2%22&gs_l=psy-ab.3..0l2j0i30k1j0i5i30k1.22405.24998.0.25175.6.5.1.0.0.0.122.391.4j1.5.0....0...1.1.64.psy-ab..0.6.381.tj0dGDz5AB8&safe=active&ssui=on#imgrc=u9i-2akVpr4LqM:,
"impact wrench 3/4"", electric",,22.5,,30,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=impact+wrench+3%2F4+electric&oq=impact+wrench+3%2F4+electric&gs_l=psy-ab.3...19673.24158.0.24382.18.17.1.0.0.0.178.1897.6j11.17.0....0...1.1.64.psy-ab..0.8.877...0j0i5i30k1j0i30k1j0i8i30k1.PgoRqcDkHyQ&safe=active&ssui=on#imgrc=eXrB-NTS0eK8sM:,
"puller, large",,15,,15,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=large+puller&oq=large+puller&gs_l=psy-ab.3..0j0i8i30k1l3.37714.40295.0.44384.12.12.0.0.0.0.112.937.11j1.12.0....0...1.1.64.psy-ab..0.12.936...0i67k1.eVNmwnJxOEk&safe=active&ssui=on#imgrc=a5qbyg5hPELDcM:,
"puller, small",,10.5,,10.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=small+puller&oq=small+puller&gs_l=psy-ab.3..0j0i7i30k1l3.45214.45851.0.46072.5.5.0.0.0.0.93.393.5.5.0....0...1.1.64.psy-ab..0.5.392...0i13k1.nGjV665KnTw&safe=active&ssui=on#imgrc=rUGCyJffXfHkpM:,
"torque wrench, 200 ft/lbs",,15,,15,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=torque+wrench+200+ft+lbs&oq=torque+wrench+200&gs_l=psy-ab.3.1.0j0i24k1l3.6650.7577.0.10177.4.4.0.0.0.0.162.385.3j1.4.0....0...1.1.64.psy-ab..0.4.384...0i8i30k1.yi2-7zN_WP8&safe=active&ssui=on#imgrc=mT4tu6XX0ZTBxM:,
"torque wrench, 600 ft/lbs",,25.5,,34,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=torque+wrench+600+ft+lbs&oq=torque+wrench+600+ft+lbs&gs_l=psy-ab.3..0i24k1.33556.34049.0.34321.2.2.0.0.0.0.77.143.2.2.0....0...1.1.64.psy-ab..0.1.76.lvStKgLfFJY&safe=active&ssui=on#imgrc=MYXiqxJEdUK1KM:,
transmisson jack,,21,,27.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=transmission+jack&oq=transmission+jack&gs_l=psy-ab.3...41026.44646.0.44886.17.17.0.0.0.0.173.1342.5j7.12.0....0...1.1.64.psy-ab..5.12.1330...0j0i67k1.4QMEYTN_ur0&safe=active&ssui=on#imgrc=NHODLrx2ytvA8M:,
valve spring compressor,,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=valve+spring+compressor&oq=valve+sp&gs_l=psy-ab.3.0.0l4.24907.33960.0.35718.8.8.0.0.0.0.235.889.2-4.4.0....0...1.1.64.psy-ab..4.4.888...0i67k1.sZEAGS2AB_k&safe=active&ssui=on#imgrc=oOEojOtpX1g9XM:,
"floor jack, 3ton",,20,,30,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=3+ton+floor+jack&oq=3+ton+floor+&gs_l=psy-ab.3.0.0l2j0i30k1l2.51126.54826.0.56486.18.15.3.0.0.0.185.1510.8j7.15.0....0...1.1.64.psy-ab..0.18.1524...0i67k1j0i13k1.EhsfZokBc_Y&safe=active&ssui=on#imgrc=eDHTRTWSkSIOxM:,
"Creeper, Automotive",Automotive Creeper,0,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=automotive+creeper&oq=automotive+cre&gs_l=psy-ab.3.0.0l3j0i5i30k1.29891.35351.0.36757.14.14.0.0.0.0.93.1032.14.14.0....0...1.1.64.psy-ab..0.14.1031...0i67k1j0i10i67k1.I5D7MrqJ7Uw&safe=active&ssui=on#imgrc=FqUV6ewlIs7MpM:,
Receiver Hitch, ,5,,5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=receiver+hitch&oq=receiver+hi&gs_l=psy-ab.3.0.0l4.55658.58942.0.60147.13.12.1.0.0.0.113.899.11j1.12.0....0...1.1.64.psy-ab..0.13.902...0i67k1.qeds3K1NMN8&safe=active&ssui=on#imgrc=t_B23qJAvoXc6M:,
Pintle Hitch,,20,,20,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=pintle+hitch&oq=pintle&gs_l=psy-ab.3.0.0i67k1j0l3.18416.19356.0.20796.6.6.0.0.0.0.139.511.5j1.6.0....0...1.1.64.psy-ab..0.6.511.n91sr6rgs8Q&safe=active&ssui=on#imgrc=VKC48gV2OPDQ1M:,
"Paint gun, Lacquer",sprayer,25,,25,,https://www.google.com/search?tbm=isch&q=paint+gun+lacquer&spell=1&sa=X&ved=0ahUKEwiqtLCc84TWAhXHjlQKHVuJCqgQvwUIIigA&biw=1920&bih=901&dpr=1&safe=active&ssui=on#imgrc=G80LkG-0C-Z1DM:,
Porta Power 10 ton or 3 ton,,22.5,,32.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=porta+power&oq=porta+power&gs_l=psy-ab.3..0l4.46045.48086.0.48216.11.11.0.0.0.0.88.761.11.11.0....0...1.1.64.psy-ab..0.11.750...0i67k1.Qi4weKk0lY0&safe=active&ssui=on#imgrc=Zdt1zNWd_oI6CM:,
Spanner wrench,fan clutch wrench,25,,25,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=spanner+wrench&oq=spanner+w&gs_l=psy-ab.3.0.0l4.107899.109047.0.110390.9.9.0.0.0.0.128.608.7j1.8.0....0...1.1.64.psy-ab..1.8.606...0i67k1.7vdDdt0PM6c&safe=active&ssui=on#imgrc=bC-axMlozrjwOM:,
Radiator pressure tester, ,15,,25,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=radiator+pressure+tester&oq=radiator+pressu&gs_l=psy-ab.3.1.0l4.22952.28326.0.29717.19.17.2.0.0.0.85.1211.17.17.0....0...1.1.64.psy-ab..0.19.1219...0i67k1j0i13k1.v2AmvIjo5kI&safe=active&ssui=on#imgrc=Ld9eHZpJYzaLvM:,
Drills,,,,,,,
"Drill, 1/4"", electric",,10,,15,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=drill+1%2F4+electric&oq=drill+1%2F4+electric&gs_l=psy-ab.3...29687.34435.0.34595.18.18.0.0.0.0.259.1493.17j0j1.18.0....0...1.1.64.psy-ab..0.10.758...0j0i67k1j0i30k1j0i5i30k1j0i8i30k1.Chw1SklnbTk&safe=active&ssui=on#imgrc=4VFsmL8mgE6zoM:,
"Drill, 1/2"", electric",,15,,22,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=drill+1%2F2+electric&oq=drill+1%2F2+electric&gs_l=psy-ab.3..0i8i30k1.561865.562262.0.562484.2.2.0.0.0.0.70.137.2.2.0....0...1.1.64.psy-ab..0.2.137.-6WS16mW2Oc&safe=active&ssui=on#imgrc=7CrVIzs7km-RXM:,
"Drywall screw gun, electric", ,15,,22,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=drywall+screwgun+electric&oq=drywall+screwgun+electric&gs_l=psy-ab.3...19030.24930.0.25106.27.26.1.0.0.0.169.2016.24j2.26.0....0...1.1.64.psy-ab..0.20.1502...0j0i67k1j0i10k1j0i13k1.YB0aiFxkL1E&safe=active&ssui=on#imgrc=sYL1dCGj3G-4OM:,
"Drill, 1/2"", right angle, electric",,35,,50,Milwaukee,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=1%2F2+right+angle+drill&oq=1%2F2%22+Right+an&gs_l=psy-ab.1.1.0l2j0i24k1l2.51533.55114.0.57498.15.14.1.0.0.0.152.1130.10j3.13.0....0...1.1.64.psy-ab..1.14.1140...0i8i30k1.age1Lx5QD8w&safe=active&ssui=on#imgrc=MHBUwgEyLP5IfM:,
"Drill, 3/4"", heavy duty, electric",,25,,35.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=3%2F4+heavy+duty+electric+drill&oq=3%2F4+heavy+duty+electric+drill&gs_l=psy-ab.3...9488.10971.0.11807.6.6.0.0.0.0.88.429.6.6.0....0...1.1.64.psy-ab..0.0.0.Gu6PocLhQLM&safe=active&ssui=on#imgrc=HjDTP4Zorw3laM:,
"Drill, 3/4"", Magnetic drill",,50,,95,Milwaukee,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=3%2F4+magnetic+drill+milwaukee&oq=3%2F4+magnetic+drill+milwaukee&gs_l=psy-ab.3...25140.34848.0.35037.28.28.0.0.0.0.103.2008.27j1.28.0....0...1.1.64.psy-ab..0.15.1095...0j0i5i30k1j0i8i30k1j0i24k1.QgU5qGrVvpc&safe=active&ssui=on#imgrc=enBgK7nXoAwCgM:,
"Drill, 1/2"" Cordless, (Battery)",,18,,26,Dewalt,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=1%2F2%22+drill+Dewalt+battert&oq=1%2F2%22+drill+Dewalt+battert&gs_l=psy-ab.3...48435.56559.0.56755.27.26.1.0.0.0.188.2133.23j3.26.0....0...1.1.64.psy-ab..0.21.1619...0j0i30k1j0i8i30k1j0i24k1.bjZxXvRTy1E&safe=active&ssui=on#imgrc=qpc3u5htQHBEMM:,
"Drill, 1/2"", Hole hawg, electric (bit not included)", ,17.5,,22,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Drill%2C+1%2F2%22%2C+Hole+hawg%2C+electric&oq=Drill%2C+1%2F2%22%2C+Hole+hawg%2C+electric&gs_l=psy-ab.3...35834.36785.0.38024.2.2.0.0.0.0.85.147.2.2.0....0...1.1.64.psy-ab..0.0.0.0.phg4u3FQd2I&safe=active&ssui=on#imgrc=glNtcXTOg3sZlM:,
"Drill, 1/2"", compact hole shooter, electric",,17,,22,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Drill%2C+1%2F2%22%2C+compact+hole+shooter%2C+electric&oq=Drill%2C+1%2F2%22%2C+compact+hole+shooter%2C+electric&gs_l=psy-ab.3...20336.20757.0.21317.2.2.0.0.0.0.82.151.2.2.0....0...1.1.64.psy-ab..0.0.0.0.GNsQZNhssAk&safe=active&ssui=on#imgrc=dZQlsnuTFlk87M:,
"Lockset hole saw, electric",Door,32,,32,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Lockset+hole+saw%2C+electric&oq=Lockset+hole+saw%2C+electric&gs_l=psy-ab.3...62409.62810.0.63828.2.2.0.0.0.0.280.351.1j0j1.2.0....0...1.1.64.psy-ab..0.0.0.0.-ZTSxQ0hJvA&safe=active&ssui=on#imgrc=-YwYWgLgwjYgAM:,
"2"" wood auger bit",,12,,12,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=2%22+wood+auger+bit&oq=2%22+wood+auger+bit&gs_l=psy-ab.3..0i24k1.152051.152434.0.152896.2.2.0.0.0.0.108.194.1j1.2.0....0...1.1.64.psy-ab..0.1.107.0.zOps1zDdh2s&safe=active&ssui=on#imgrc=wI_004ENsMQElM:,
,,,,,,,
Concrete,,,,,,,
"Grinder, Hand held, 4"", electric",,14,,19,Dewalt,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Grinder%2C+Hand+held%2C+4%22%2C+electric&oq=Grinder%2C+Hand+held%2C+4%22%2C+electric&gs_l=psy-ab.3...38961.39462.0.40534.2.2.0.0.0.0.141.197.1j1.2.0....0...1.1.64.psy-ab..0.0.0.0.IbqYuNzvHDg&safe=active&ssui=on#imgrc=9S82hxcQdrejDM:,
"Grinder, Hand held, 5"", electric",,14,,19,Dewalt,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Grinder%2C+Hand+held%2C+4%22%2C+electric&oq=Grinder%2C+Hand+held%2C+4%22%2C+electric&gs_l=psy-ab.3...38961.39462.0.40534.2.2.0.0.0.0.141.197.1j1.2.0....0...1.1.64.psy-ab..0.0.0.0.IbqYuNzvHDg&safe=active&ssui=on#imgrc=9S82hxcQdrejDM:,
"Grinder,Hand held, 7"", electric ", ,22.5,,35,Hilti,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Grinder%2C+Hand+held%2C+7%22%2C+electric+Hilti&oq=Grinder%2C+Hand+held%2C+7%22%2C+electric+Hilti&gs_l=psy-ab.3...15795.18812.0.20044.8.8.0.0.0.0.123.683.6j2.8.0....0...1.1.64.psy-ab..0.1.78...0i8i30k1.AkPOepb319k&safe=active&ssui=on#imgrc=hK2LNfoyXU2p5M:,
"Light tower, towable",,150,,150, ,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=towable+light+tower&oq=light+tower+tow&gs_l=psy-ab.3.1.0j0i8i30k1l2.41660.48932.0.51588.31.26.5.0.0.0.223.2700.11j10j2.23.0....0...1.1.64.psy-ab..3.28.2722...0i10k1j0i13k1.e2dun4IyNnA&safe=active&ssui=on#imgrc=TSQQsz96uCTbyM:,
"Road Work Sign: one lane, shoulder work, work ahead", ,18,,18,-,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Road+Work+Sign%3A+one+lane%2C+shoulder+work%2C+work+ahead+with+stand&oq=Road+Work+Sign%3A+one+lane%2C+shoulder+work%2C+work+ahead+with+stand&gs_l=psy-ab.3...38157.40892.0.41065.11.11.0.0.0.0.76.760.11.11.0....0...1.1.64.psy-ab..0.0.0.ikVUzhClIso&safe=active&ssui=on#imgrc=stLovBern8zTCM:,
"Double Drum Roller 36""", ,210,,210,Atlas-Copco,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Double+Drum+Roller+36%22+Atlas+Copco&oq=Double+Drum+Roller+36%22+Atlas+Copco&gs_l=psy-ab.3...3047.7939.0.8175.12.12.0.0.0.0.146.890.11j1.12.0....0...1.1.64.psy-ab..0.1.80...0i8i30k1.LSaQm3tqmHM&safe=active&ssui=on#imgrc=J92-TyN5xON_CM:,
"Reversible plate compactor, 700lb.",Vib., ,,177,Chicago Pneumatic,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Reversible+plate+compactor%2C+700lb.+chicago+pneumatic&oq=Reversible+plate+compactor%2C+700lb.+chicago+pneumatic&gs_l=psy-ab.3...22022.27629.0.27874.18.18.0.0.0.0.116.1709.9j8.17.0....0...1.1.64.psy-ab..1.0.0.BBI2P70-tTY&safe=active&ssui=on#imgrc=IzTp_wQTqnRlrM:,
Vibratory Plate Compactor,,56,,75, MiTm,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=vibratory+plate+&oq=vibratory+plate+&gs_l=psy-ab.3..0l4.119657.122821.0.123187.16.13.0.0.0.0.526.1236.0j5j5-1.6.0....0...1.1.64.psy-ab..10.6.1226...0i67k1.Ci9Mv4UkoKs&safe=active&ssui=on#imgrc=f9V_WDDT9BbFSM:,
Bull float w/ 2 handles,,15,,15,Kraft Tools,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Bull+float+w%2F+2+handles+&oq=Bull+float+w%2F+2+handles+&gs_l=psy-ab.3...90744.90744.0.91210.1.1.0.0.0.0.62.62.1.1.0....0...1.1.64.psy-ab..0.0.0.eTHRkwzmzQg&safe=active&ssui=on#imgrc=SRoUtz_U9KeX3M:,
concrete broom w/ 2 handles,,15,,15,Kraft Tools,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Kraft+tools+metal+concrete+broom&oq=Kraft+tools+metal+concrete+broom&gs_l=psy-ab.3...135500.140170.0.140571.12.12.0.0.0.0.217.1282.6j0j4.10.0....0...1.1.64.psy-ab..2.0.0.8jJtTYuOWTs&safe=active&ssui=on#imgrc=Q5u2_YWsP-dOLM:,no pic
"extra handles, broom,  float",,8,,8,Kraft Tools,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Concrete+handles+broom&oq=Concrete+handles+broom&gs_l=psy-ab.3...4651.6356.0.6667.6.6.0.0.0.0.263.767.2j3j1.6.0....0...1.1.64.psy-ab..0.0.0.yrN5WcBirmQ&safe=active&ssui=on#imgrc=F3M-YaG3CtiDfM:,no pic
"cement mixer 2 cu ft, electric, 3 piece",,25,,25, ,No image available,
